10 City Not Seasonally,SPCS10 Index
10 City Seasonally,SPCS10SA Index
20 City Not Seasonally,SPCS20 Index
20 City Seasonally,SPCS20SA Index
Affordability 1st Time Buyers,HOMEAFFR Index
Affordability Midwest,AFFDMWCO Index
Affordability Northeast,AFFDNECO Index
Affordability South,AFFDSOCO Index
AffordabilityWest,AFFDWTCO Index
Home Px Seasonally,SPCSUSS Index
Home Px Seasonally Not SeasonaL,SPCSUSA Index
JBREC Housing Affordability,HSNGAFFR Index
Mthly Own Pay,.PI+PRPTX G Index
Mthly Rent Pay,RAPTUSME Index
NAHB Housing Oppt,HOIXHOI% Index
