BZ  Exports ,BZSLEXTO Index
BZ  Imports ,BZSLIMTO Index
BZ  Production ,IISIBRAZ Index
CN  Exports ,CNXVSPRM Index
CN  Imports ,CNMVSPRM Index
CN  Production ,IISICHIN Index
CN Hot Rolled,CDSPHRAV Index
CN Iron Ore Spot,CIOSBAOT Index
EU  Exports ,EUFETOTL Index
EU  Imports ,EUSLTOTL Index
EU  Production ,IISTEURO Index
Global Pig Iron Product,IISBTOTL Index
Global Steel Production ,IISTTOTL Index
JP  Exports ,SJPNEXIS Index
JP  Imports ,SJPNIMIS Index
JP  Production ,IISIJAPN Index
U.S. Steel Capacity Utilization ,RSCURATE Index
US  Exports ,CAPDSTEX Index
US  Imports ,STIMTOSC Index
US  Production ,IISIUSA Index
World Steel Capacity Utilization ,SCURUTIL Index
