   Cass Freight Expenditures,CASSEXPN Index
   Cass Freight Shipments,CASSSHIP Index
   Cass Intermodal Linehaul,CILHHAUL Index
Cont PX         Asia | NA,CSHPANAR Index
Cont PX         S | Cen America | NA,CSHPCNAR Index
Cont PX         Europe | NA,CSHPENAR Index
Cont PX         Indian Sub Cont | ME | NA,CSHPINAR Index
Cont PX         NA | Asia,CSHPNASR Index
Cont PX         NA | Australasia | Oceania,CSHPNAUO Index
Cont PX         NA | Europe,CSHPNEUR Index
Cont PX         NA | Indian Sub Cont | ME,CSHPNIME Index
Cont PX        NA | NA,CSHPNNAR Index
Cont PX         NA | S | Cen America,CSHPNSCA Index
Cont PX         NA | Sub Sahar Africa,CSHPNSSA Index
Cont PX         Australasia | Oceania | NA,CSHPONAR Index
Cont PX         Sub Sahar Africa | NA,CSHPSNAR Index
Cont Vol         Asia | NA,CSHVANAR Index
Cont Vol         S | Cen America | NA,CSHVCNAR Index
Cont Vol         Europe | NA,CSHVENAR Index
Cont Vol         Indian Sub Cont | ME | NA,CSHVINAR Index
Cont Vol         NA | Asia,CSHVNASR Index
Cont Vol         NA | Australasia | Oceania,CSHVNAUO Index
Cont Vol         NA | Europe,CSHVNEUR Index
Cont Vol         NA | Indian Sub Cont | ME,CSHVNIME Index
Cont Vol         NA | NA,CSHVNNAR Index
Cont Vol         NA | S | Cen America,CSHVNSCA Index
Cont Vol         NA | Sub Sahar Africa,CSHVNSSA Index
Cont Vol         Australasia | Oceania | NA,CSHVONAR Index
Cont Vol         Sub Sahar Africa | NA,CSHVSNAR Index
   Cass Truckload Linehaul,CTRINDEX Index
Shippings     Drewry Hong Kong | LA Cont,DRCRRATE Index
DOT Freight Transportation ServicesDTSIFRET Index,DTSIFRET Index
Intermodal     Eastern OB ,ESCTECOT Index
Intermodal     Top 12 | Lane AverageITFL12LA Index,ITFL12LA Index
Intermodal     Top 18 | Lane AverageITFL18LA Index,ITFL18LA Index
Intermodal     Atlanta | ChicagoITFLAGCI Index,ITFLAGCI Index
Intermodal     Atlanta | LAITFLAGLC Index,ITFLAGLC Index
Intermodal     Chicago | AtlantaITFLCIAG Index,ITFLCIAG Index
Intermodal     Chicago | DallasITFLCIDT Index,ITFLCIDT Index
Intermodal     Chicago | LAITFLCILC Index,ITFLCILC Index
Intermodal     Chicago | LindenITFLCILN Index,ITFLCILN Index
Intermodal     Chicago | OaklandITFLCIOC Index,ITFLCIOC Index
Intermodal     Chicago | SeattleITFLCISW Index,ITFLCISW Index
Intermodal     Dallas | ChicagoITFLDTCI Index,ITFLDTCI Index
Intermodal     Dallas | LAITFLDTLC Index,ITFLDTLC Index
Intermodal     Weighted Reg VolITFLIANA Index,ITFLIANA Index
Intermodal     LA | AtlantaITFLLCAG Index,ITFLLCAG Index
Intermodal     LA | ChicagoITFLLCCI Index,ITFLLCCI Index
Intermodal     LA | DallasITFLLCDT Index,ITFLLCDT Index
Intermodal     LA | LindenITFLLCLN Index,ITFLLCLN Index
Intermodal     Linden | ChicagoITFLLNCI Index,ITFLLNCI Index
Intermodal     Linden | LAITFLLNLC Index,ITFLLNLC Index
Intermodal     Oakland | ChicagoITFLOCCI Index,ITFLOCCI Index
Intermodal     Seattle | ChicagoITFLSWCI Index,ITFLSWCI Index
        Port LA Empty Conts ,LALBLAEM Index
        Port LA Loaded Cont EX  ,LALBLAEX Index
       Port LA Loaded Cont IM ,LALBLAIM Index
      Long Beach  Empty Cont,LALBLBEM Index
       Long Beach  Loaded OB Cont ,LALBLBEX Index
        Long Beach Loaded Inbound Cont,LALBLBIM Index
Intermodal     Mountain Central OB ,MTCTMCOT Index
Intermodal     Midwest OB ,MWITMWOT Index
Intermodal     Northeast OB ,NESTNEOT Index
Intermodal     Northwest OB ,NWITNWOT Index
    Port Charleston ,POCHTOTL Index
    Port NY NJ,PONYTOTL Index
    Port Oakland ,POOKTOTL Index
    Port Savannah ,POSATOTL Index
    Port Seattle ,POSETOTL Index
    Port Tacoma ,POTWTOTL Index
    Port Virginia ,POVATOTL Index
    Port Prince Rupert ,PRPSTTTE Index
    Port Vancouver ,PVANTOTL Index
Intermodal     South Central OB ,SHCTSCOT Index
Intermodal     Southeast OB ,STETSEOT Index
Intermodal     Southwest OB Intermodal ,STWTSWOT Index
    Port Houston ,TEUHTOTL Index
    FTR Dry Van Loadings,TKLODVLD Index
    Class 8 Backlog|Build TKMIBBRT Index,TKMIBBRT Index
       Class 8  BacklogTKMIBKLG Index,TKMIBKLG Index
        Class 8 BuildTKMIBULD Index,TKMIBULD Index
       Class 8 CancellationsTKMICNCL Index,TKMICNCL Index
