U.S. Flat Rolled Pricing,
US NA Hot Rolled Coil Steel Spot,STANFPHR EXW KLSH Index
U.S. Service Center Inv,ALOYI|SI Index
Canda Service Center Inv,I|SPCSPI Index
U.S. Steel Capacity Util,RSCURATE Index
U.S Raw Steel Prod,RSPR Index
US All Steel Mill Products,USSIASMP Index
Flat Products,
    Total  Flat Product Imports (mt),
Flat  Black Plate,STIMBLPL Index
Flat Cold Bars,STIMBRCF Index
        Line Pipe Imports Total,
Line Pipe greater 16,STIMLPGR Index
Line Pipe less 16,STIMLPLT Index
Line Pipe,STIMLPNS Index
        Mechanical Tubing,STIMMCTU Index
        Oil Country Goods,STIMOCGD Index
        Pipe | Tube,STIMPTNC Index
        Pipe For Piling,STIMPIPI Index
        Plates in Coils,STIMPLCO Index
        Plates Cut Lengths,STIMPLCL Index
        Pressure Pipe/Tube,STIMPRTU Index
        Sheets Cold Rolled,STIMSHCR Index
        Sheets Hot Rolled,STIMSHHR Index
        Sheets | Strips  AOMC,STIMSSMC Index
        Sheets | Strips  Electrical,STIMSSEL Index
        Sheets | Strips  Galvanized Elec.,STIMSSEC Index
        Sheets | Strips  Hot Dipped,STIMSSHD Index
        Stainless Pipe/Tube,STIMSTPT Index
        Standard Pipe,STIMSTPI Index
        Strip Cold Rolled,STIMSPCR Index
        Strip Hot Rolled,STIMSPHR Index
        Structural Pipe | Tube,STIMSRPT Index
        Tin Free Steel,STIMTFSL Index
        Tin Plate,STIMTNPL Index
        Tool Steel,STIMTLSL Index
    Total  Flat Product Exports (mt),
        Black Plate  Carbon | Alloy,CAPDBLCK Index
Cold Finish Bars,
Cold Finish Bars Carbon | Alloy,CAPDCLDF Index
Cold Finish Bars Stainless Steel,CAPDCOLD Index
Line Pipe,
Line Pipe Carbon | Alloy,CAPDLNPP Index
Line Pipe Stainless Steel,CAPDLINE Index
Mechanical Tubing  Carbon | Alloy,CAPDMECH Index
Pipe | Tube (NonClass),
Pipe | Tube (NonClass) Carbon | Alloy,CAPDPTNC Index
Pipe | Tube (NonClass) Stainless,CAPDTUBN Index
Pipe For Piling  Carbon | Alloy,CAPDPFPN Index
        Plates in Coils,
Plates in Coils Carbon | Alloy,CAPDPLTS Index
Plates in Coils Stainless Steel,CAPDPLTC Index
Plates Cut Lengths,
