NA,AEX Index
NA,AEX Index
AT,AS51 Index
AU,AS51 Index
GA,ASE Index
AV,ATX Index
BB,BEL20 Index
SG,BELEXLIN Index
RE,BET Index
BG,BGSMDC Index
BI,BHSEASI Index
LB,BLOM Index
HB,BUX Index
PP,BVPSBVPS Index
FP,CAC Index
CB,COLCAP Index
CZ,CRO Index
SL,CSEALL Index
CY,CYSMMAPA Index
TZ,DARSDSEI Index
GR,DAX Index
GS,DAX Index
GY,DAX Index
DB,DFMGI Index
QD,DSM Index
MK,FBMKLCI Index
NW,FTN098 Index
IM,FTSEMIB Index
GN,GGSECI Index
EY,HERMES Index
FH,HEX Index
HK,HIS Index
SM,IBEX Index
SQ,IBEX Index
BS,IBOV Index
BZ,IBOV Index
VZ,IBVC Index
IR,ICEXI Index
RM,IMOEX Index
RR,IMOEX Index
RU,IMOEX Index
RU,IMOEX Index
RX,IMOEX Index
CC,IPSA Index
ID,ISEQ Index
SJ,JALSH Index
IJ,JCI Index
JA,JMSMX Index
JR,JOSMGNFF Index
DC,KFX Index
KN,KNSMIDX Index
KS,KOSPI Index
PA,KSE100 Index
KK,KWSEMM Index
KZ,KZKAK Index
LS,LSXC Index
MV,MALTEX Index
MS,MBI Index
AR,MERVAL Index
MF,MEXBOL Index
MC,MOSENEW Index
MO,MSETOP Index
OM,MSM30 Index
NL,NGSEINDX Index
IB,NIFTY Index
IN,NIFTY Index
IS,NIFTY Index
JP,NKY Index
JP,NKY Index
NZ,NZSE50FG Index
NO,OBX Index
SS,OMX Index
PS,PASISI Index
PM,PCOMP Index
UZ,PFTS Index
PL,PSI20 Index
CP,PX Index
LG,RIGSE Index
AB,SASEIDX Index
BT,SASX10 Index
SV,SBITOP Index
MP,SEMDEX Index
TB,SET Index
CH,SHCOMP Index
SK,SKSM Index
SE,SMI Index
SW,SMI Index
BU,SOFIX Index
PE,SPBLPGPT Index
CT,SPTSX Index
UN,SPX Index
US,SPX Index
UW,SPX Index
SP,STI Index
IT,TA-125 Index
ET,TALSE Index
TU,TUSISE Index
TT,TWSE Index
LN,UKX Index
LH,VILSE Index
VM,VNINDEX Index
VN,VNINDEX Index
PW,WIG Index
TI,XU100 Index
ZH,ZHINDUSD Index
