Global Aluminum Smelter Capacity by Country,
Global Smelter Capacity ('000 metric tons),AWSCCAWT Index
    North America,
        Canada,AWSCCACA Index
        United States,AWSCCAUS Index
    South & Central America,
        Brazil,AWSCCABR Index
        Venezuela,AWSCCAVE Index
    Europe,
        Russia,AWSCCARU Index
        Norway,AWSCCANO Index
        Iceland,AWSCCAIS Index
        France,AWSCCAFR Index
        Germany,AWSCCADE Index
    Asia,
        China,AWSCCACN Index
        India,AWSCCAIN Index
        Tajikistan,AWSCCATJ Index
    Oceania,
        Australia,AWSCCAAU Index
    Africa,
        South Africa,AWSCCAZA Index
        Mozambique,AWSCCAMZ Index
    Middle East,
        United Arab Emirates,AWSCCAAE Index
        Bahrain,AWSCCABH Index
    Other Countries,AWSCCAOT Index
Aluminum Can Shipments Exports & Imports,
Aluminum Can Shipments Exports (millions of cans),CMIAACSE Index
    12 Ounce or Less,CMIAE12L Index
    Over 12 Ounce & Less Than 1 Gallon,CMIAEG12 Index
    Over 1 Gallon,CMIAEGO1 Index
Aluminum Can Shipments Imports (millions of cans),CMIAACSI Index
    12 Ounce or Less,CMIAI12L Index
    Over 12 Ounce & Less Than 1 Gallon,CMIAIG12 Index
    Over 1 Gallon,CMIAIGO1 Index
Metal Can* Shipments by Product,
Total Metal Can Shipment (millions of cans),CMIATMCS Index
    Beverage,CMIABEVE Index
        Alcoholic,CMIAALCO Index
        Non-Alcoholic,CMIANALC Index
    Food,CMIAPFOD Index
        Coffee,CMIACOFF Index
        Fruit (Excluding Juices),CMIAFRUI Index
        Vegetables (Excluding Juices),CMIAVEXJ Index
        Soups & Miscellaneous Foods,CMIASMIS Index
        Pet Food,CMIAPETF Index
        All Other Foods,CMIAALLF Index
Metal Can Shipment by Market,
Total Metal Can Shipment (millions of cans),CMIATMCS Index
    For Sale,
        Beverage Can Shipments by Size (millions of cans),CMIABEVE Index
        Food,CMIAMFOD Index
        General Packaging,CMIAMGPA Index
    For Own Use,CMIAOFOD Index
        Food,CMIAOFOD Index
        General Packaging,CMIAOGPA Index
Steel Can Shipments Exports & Imports,
Steel Can Shipments Exports (millions of cans),CMIASCSE Index
Steel Can Shipments Imports (millions of cans),CMIASCSI Index
,
,
,
,
,
,
,
~~~~~~~~~~,~~~~~~~~~~
All rows below have been added for reference by formula rows above.,
0,
Currency,USD
Periodicity,CY
Number of Periods,27
Start Date,-27CY
End Date,44465
HeaderStatus(BDP formula),
,
Period Start,
Period End,
Global Smelter Capacity ('000 metric tons),AWSCCAWT Index
        Canada,AWSCCACA Index
        United States,AWSCCAUS Index
        Brazil,AWSCCABR Index
        Venezuela,AWSCCAVE Index
        Russia,AWSCCARU Index
        Norway,AWSCCANO Index
        Iceland,AWSCCAIS Index
        France,AWSCCAFR Index
        Germany,AWSCCADE Index
        China,AWSCCACN Index
        India,AWSCCAIN Index
        Tajikistan,AWSCCATJ Index
        Australia,AWSCCAAU Index
        South Africa,AWSCCAZA Index
        Mozambique,AWSCCAMZ Index
        United Arab Emirates,AWSCCAAE Index
        Bahrain,AWSCCABH Index
    Other Countries,AWSCCAOT Index
Aluminum Can Shipments Exports (millions of cans),CMIAACSE Index
    12 Ounce or Less,CMIAE12L Index
    Over 12 Ounce & Less Than 1 Gallon,CMIAEG12 Index
    Over 1 Gallon,CMIAEGO1 Index
Aluminum Can Shipments Imports (millions of cans),CMIAACSI Index
    12 Ounce or Less,CMIAI12L Index
    Over 12 Ounce & Less Than 1 Gallon,CMIAIG12 Index
    Over 1 Gallon,CMIAIGO1 Index
Total Metal Can Shipment (millions of cans),CMIATMCS Index
    Beverage,CMIABEVE Index
        Alcoholic,CMIAALCO Index
        Non-Alcoholic,CMIANALC Index
    Food,CMIAPFOD Index
        Coffee,CMIACOFF Index
        Fruit (Excluding Juices),CMIAFRUI Index
        Vegetables (Excluding Juices),CMIAVEXJ Index
        Soups & Miscellaneous Foods,CMIASMIS Index
        Pet Food,CMIAPETF Index
        All Other Foods,CMIAALLF Index
Total Metal Can Shipment (millions of cans),CMIATMCS Index
        Beverage Can Shipments by Size (millions of cans),CMIABEVE Index
        Food,CMIAMFOD Index
        General Packaging,CMIAMGPA Index
    For Own Use,CMIAOFOD Index
        Food,CMIAOFOD Index
        General Packaging,CMIAOGPA Index
Steel Can Shipments Exports (millions of cans),CMIASCSE Index
Steel Can Shipments Imports (millions of cans),CMIASCSI Index
Snapshot header,2
No error found,
