        U.S. Housing Starts SAAR ('000 Units),NHSPSTOT Index
        U.S. New Home Sales SAAR ('000 Units),NHSLTOT Index
        U.S. New Home Months Supply,NHSLSUPP Index
        U.S. New Home Median Price ($),NHSLAVSL Index
        U.S. Existing Home Sales SAAR (M Units),ETSLTOTL Index
,
,
        U.S. Existing Home Sales Months Supply,ETSLMSUP Index
            Single Family Months Supply,EHSLMSUP Index
            Multi-Family Months Supply,ECSLMSUP Index
        U.S. Existing Home Median Price ($),ETSLMP Index
        NAHB Market Index,USHBMIDX Index
        U.S. Mortgage Rates,
            Mtg Bankers 30 Yr FR Mtg,MB30 Index
            Bankrate.com 30 Yr Mtg,ILM3NAVG Index
            Freddie Mac 30yr FR Mtg,NMCMFUS Index
            10 Yr US Govt Yield,USGG10YR Index
            Bankrate.com 30 Yr Jumbo,ILMJNAVG Index
            Bankrate 3/1 ARM,ILMRNAVG Index
            Bankrate 5/1 ARM,ILM5NAVG Index
            Bankrate 7/1 ARM,ILM7NAVG Index
        ,
        U.S. Constant Quality House Price Index (2005=100),CQHPINDX Index
            YoY %,CQHPYOY Index
        Homebuyer Affordability Index,AFFDCMOM Index
        Home Ownership Rate,HOWNRATE Index
        ,
        National Association of Homebuilder Sentiment Index,USHBMIDX Index
    Homebuilder Confidence:,
        National Housing Market Index,USHBMIDX Index
            by Category,
                Present Sales,USHBPRSS Index
                Future Sales,USHBFUTS Index
                Buyer Traffic,USHBTRAF Index
            by Region,
                South,USHBSOMK Index
                West,USHBWEMK Index
                Midwest,USHBMWMK Index
                Northeast,USHBNEMK Index
        55+ Housing Market Index,
            Multifamily Rental,
    ,
    New Residential Construction:,
        Building Permits SAAR (000's),NHSPATOT Index
            Seasonally Adjusted,
                by Structure,
                    Single-Family,NHSPA1 Index
"                        Top Public Builder Markets - Charleston, SC",NH1UCHSC Index
                    Multifamily,NHSPAM Index
                by Region,
            Top 50 MSA's NSA,
        Building Permits (MoM),NHCHATCH Index
        Building Permits (YoY),NHSPATY% Index
        ,
        Housing Starts SAAR (000's),NHSPSTOT Index
            by Structure,
                Single-family,NHSPS1 Index
                Multifamily,NHSPSM Index
            by Region,
        Housing Starts (MoM),NHCHSTCH Index
        Housing Starts (YoY),NHSPSTY% Index
        ,
        New Homes Under Construction,HUUCTOT Index
            Single Family,HUUC1UNT Index
                by Region,
                    Northeast,HUUCNE1 Index
                    Midwest,HUUCMW1 Index
                    South,HUUCSTH1 Index
                    West,HUUCWE1 Index
            Multifamily,HUUCMULT Index
        New Home Completions SAAR (000's),PHUCTOT Index
            Single-Family,PHUC1UT Index
                South,PHUCSTH1 Index
                West,PHUCWE1 Index
                Midwest,PHUCMW1 Index
                Northeast,PHUCNE1 Index
            Multifamily,
    ,
    New Residential Sales:,
        New Home Sales SAAR (000's),NHSLTOT Index
            by Region,
                South,NHSLSO Index
                West,NHSLWE Index
                Midwest,NHSLMW Index
                Northeast,NHSLNE Index
        New Home Sales (MoM),NHSLCHNG Index
