,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ticker,Field ID,Field Mnemonic,Data State,7/2021,6/2021,5/2021,4/2021,3/2021,2/2021,1/2021,12/2020,11/2020,10/2020,9/2020,8/2020,7/2020,6/2020,5/2020,4/2020,3/2020,2/2020,1/2020,12/2019,11/2019,10/2019,9/2019,8/2019,7/2019,6/2019,5/2019,4/2019,3/2019,2/2019,1/2019,12/2018,11/2018,10/2018,9/2018,8/2018,7/2018,6/2018,5/2018,4/2018,3/2018,2/2018,1/2018,12/2017,11/2017,10/2017,9/2017,8/2017,7/2017,6/2017,5/2017,4/2017,3/2017,2/2017,1/2017,12/2016,11/2016,10/2016,9/2016,8/2016,7/2016,6/2016,5/2016,4/2016,3/2016,2/2016,1/2016,12/2015,11/2015,10/2015,9/2015,8/2015,7/2015,6/2015,5/2015,4/2015,3/2015,2/2015,1/2015,12/2014,11/2014,10/2014,9/2014,8/2014
Total Expenditures,RPCEDFOF Index,PX388,INTERVAL_AVG,Dynamic,827.281,835.691,833.945,840.646,848.899,813.469,834.15,793.158,807.097,800.341,806.186,799.393,812.632,800.757,810.295,796.702,930.874,752.476,755.739,758.261,754.777,754.484,754.273,762.897,762.182,753.631,747.498,748.053,740.153,728.451,747.588,735.018,744.291,740.835,737.355,736.691,735.608,732.868,739.242,731.058,732.395,731.105,730.888,739.026,730.104,725.879,727.191,722.682,718.237,720.541,715.593,717.598,716.474,712.8,712.898,711.042,705.064,704.992,698.889,698.903,695.961,698.413,693.891,688.944,681.831,683.692,679.679,679.018,675.466,668.802,674.656,672.42,673.834,672.519,672.796,672.575,672.565,670.911,670.298,668.563,669.54,668.442,665.761,666.067
Meat and Poultry,RPCEDMAP Index,PX388,INTERVAL_AVG,Dynamic,173.234,176.543,178.693,180.936,183.493,177.029,180.672,173.531,176.741,175.268,177.27,176.299,177.324,170.577,175.863,177.376,207.597,164.122,164.239,164.527,165.169,164.779,165.129,166.807,166.273,164.349,162.344,162.83,161.996,158.401,163.137,160.775,162.615,162.123,161.876,161.24,160.956,160.648,161.382,159.089,159.281,159.55,159.616,159.745,159.712,158.632,159.003,158.251,156.474,158.327,158.347,158.866,157.367,157.338,157.378,156.213,155.005,154.911,153.312,153.172,152.447,152.595,151.425,150.719,149.801,151.249,150.174,148.759,147.839,146.527,148.351,147.801,147.497,147.076,147.351,146.889,146.401,146.435,145.926,145.992,146.146,146.754,145.484,147.043
    Poultry,RPCEDPOU Index,PX388,INTERVAL_AVG,Dynamic,59.299,60.677,60.667,61.885,62.768,61.046,61.799,59.352,60.017,59.482,59.723,59.718,60.728,59.323,59.848,59.4,70.343,56.226,56.245,55.72,56.169,55.642,55.701,55.816,55.761,54.525,54.205,54.161,54.258,52.76,54.721,53.649,54.256,53.719,53.967,53.407,52.866,52.844,53.373,53.007,53.03,53.187,53.442,53.118,53.479,52.886,52.93,52.606,52.226,52.44,52.206,52.559,52.219,52.392,52.284,52.068,51.374,51.204,50.818,51.055,50.794,51.047,50.665,50.522,50.624,51.027,50.746,50.41,49.953,49.585,50.378,49.804,49.693,49.382,49.964,49.342,49.361,49.831,49.798,49.984,49.695,49.958,49.225,49.361
    Beef/Veal,RPCEDBEE Index,PX388,INTERVAL_AVG,Dynamic,42.184,42.874,44.368,45.441,45.513,43.718,44.767,43.234,44.077,43.813,44.603,44.428,43.66,40.259,42.434,45.098,52.307,40.925,40.857,41.04,41.536,41.491,41.803,42.528,42.544,42.406,41.629,41.577,40.997,39.987,41.019,40.802,41.263,41.172,41.082,41.105,41.264,41.316,41.822,40.745,40.966,40.896,40.915,40.812,40.94,41.055,41.073,40.794,40.196,40.854,41.597,41.509,41.214,40.742,40.658,40.468,40.047,40.097,39.563,39.475,39.39,39.209,38.617,38.483,37.906,38.489,38.161,37.736,37.313,36.712,36.931,36.782,36.614,36.441,36.444,36.491,36.623,36.672,36.684,36.692,37.157,37.496,37.507,38.463
    Pork,RPCEDPOR Index,PX388,INTERVAL_AVG,Dynamic,35.908,36.462,37.256,37.459,38.559,37.052,38.167,36.564,37.565,37.182,37.973,37.499,37.631,36.321,37.751,37.452,43.568,34.252,34.484,34.636,34.535,34.657,34.697,35.214,34.644,34.297,33.703,34.344,33.996,33.694,34.365,33.937,34.262,34.542,34.242,34.137,34.308,33.978,33.947,33.575,33.335,33.363,33.239,33.608,33.336,32.989,33.083,33.171,33.028,33.264,33.132,33.206,32.695,32.983,33.471,33.157,33.021,33.053,32.505,32.191,31.906,31.994,31.983,31.844,31.831,32.122,31.694,31.292,31.188,30.908,31.472,31.664,31.577,31.55,31.312,31.419,30.637,30.107,29.719,29.491,29.37,29.26,28.938,29.046
    Other Meats,RPCEDMEA Index,PX388,INTERVAL_AVG,Dynamic,36.341,37.062,36.754,36.437,37.031,35.615,36.321,34.71,35.414,35.105,35.261,34.923,35.711,35.407,36.376,35.611,41.681,33.034,32.987,33.435,33.19,33.239,33.155,33.447,33.494,33.254,32.958,32.928,32.959,32.193,33.282,32.593,33.041,32.905,32.795,32.78,32.697,32.665,32.365,31.932,32.096,32.262,32.178,32.381,32.117,31.824,32.043,31.819,31.184,31.904,31.495,31.685,31.322,31.344,31.116,30.667,30.713,30.704,30.568,30.59,30.482,30.492,30.339,30.048,29.667,29.82,29.777,29.528,29.608,29.575,29.864,29.851,29.922,30.022,29.953,29.935,30.027,30.067,29.952,30.062,30.103,30.203,29.934,30.249
Cereal and Bakery Products,,,,Sum,162.461,164.474,162.955,164.207,165.311,157.913,162.128,153.151,156.157,154.411,155.642,155.144,157.303,156.134,157.707,153.269,179.503,144.976,145.319,145.356,144.439,144.374,144.088,145.973,145.569,144.313,142.575,143.155,141.802,139.894,143.129,140.604,142.685,142.574,141.419,141.699,141.697,140.86,142.665,141.519,141.283,141.419,141.397,145.229,141.592,140.184,139.779,138.697,138.654,138.448,137.482,138.371,137.789,136.835,136.619,137.719,135.726,135.772,134.611,134.661,134.281,134.952,134.536,133.71,132.555,132.491,131.481,132.839,131.766,130.16,132.33,131.332,131.032,130.922,130.869,130.637,130.993,131.498,131.315,132.906,131.958,131.215,130.771,129.869
    Bakery Products,RPCEDBAK Index,PX388,INTERVAL_AVG,Dynamic,97.949,99.427,98.432,99.085,100.304,95.207,98.453,92.528,94.211,93.041,93.828,93.029,94.47,94.134,95.161,91.329,107.68,88.207,88.672,88.526,88.18,88.229,88.236,89.751,89.736,89.082,87.511,88.281,87.584,86.007,87.61,86.373,87.654,87.467,87.382,87.341,87.039,86.548,87.879,87.18,86.813,87.22,87.122,90.492,87.585,86.366,85.952,85.087,85.208,84.905,84.436,85.132,84.879,84.619,84.493,85.913,84.173,84.136,83.396,83.321,83.5,83.631,83.539,82.884,82.292,82.382,81.038,82.935,81.727,80.886,82.105,81.687,81.346,81.667,81.644,81.571,81.616,81.794,81.775,83.193,82.534,81.962,81.588,81.03
    Cereals,RPCEDGRA Index,PX388,INTERVAL_AVG,Dynamic,64.512,65.047,64.523,65.122,65.007,62.706,63.675,60.623,61.946,61.37,61.814,62.115,62.833,62,62.546,61.94,71.823,56.769,56.647,56.83,56.259,56.145,55.852,56.222,55.833,55.231,55.064,54.874,54.218,53.887,55.519,54.231,55.031,55.107,54.037,54.358,54.658,54.312,54.786,54.339,54.47,54.199,54.275,54.737,54.007,53.818,53.827,53.61,53.446,53.543,53.046,53.239,52.91,52.216,52.126,51.806,51.553,51.636,51.215,51.34,50.781,51.321,50.997,50.826,50.263,50.109,50.443,49.904,50.039,49.274,50.225,49.645,49.686,49.255,49.225,49.066,49.377,49.704,49.54,49.713,49.424,49.253,49.183,48.839
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
