        Argentina,ASMISMAR Index
        Brazil,ASMISMBR Index
        Canada,ASMISMCA Index
        Chile,ASMISMCL Index
        Colombia,ASMISMCO Index
        Costa Rica,ASMISMCR Index
        Dominican Republic,ASMISMDO Index
        Ecuador,ASMISMEC Index
        Guatemala,ASMISMGT Index
        Mexico,ASMISMMX Index
        Nicaragua,ASMISMNI Index
        Panama,ASMISMPA Index
        Peru,ASMISMPE Index
        Suriname,ASMISMSR Index
        Trinidad and Tobago,ASMISMTT Index
        Uruguay,ASMISMCF Index
        Venezuela,ASMISMCI Index
All Steel Mill Product Imports (mt)  From America,
