Steel,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Flat Products,,,,,,,,,
,,,,,,,,,
Hot Rolled,,,,,,,,,
    United States,,,,,,,,,
    North America HRC Spot (ex-works) $/mt,STANHCXW KLSH Index,,,,,,,,
,,,,,,,,,
    China - Domestic,,,,,,,,,
    HR Sheet Spot Avg. ($/mt),CDSPHRAV Index,,,,,,,,
    HRC 2.75mm Average Price $/mt,,,,,,,,,
        HRC 2.75mm (In-Warehouse) Tianjin $/mt,STCN0001 Index,,,,,,,,
        HRC 2.75mm (In-Warehouse) Shanghai $/mt,STCN0004 Index,,,,,,,,
        HRC 2.75mm (In-Warehouse) Guangzhou $/mt,STCN0007 Index,,,,,,,,
        HRC 2.75mm FOB $/mt,STCN0010 Index,,,,,,,,
    HRC 5.5mm Average Price $/mt,,,,,,,,,
        HRC 5.5mm (In-Warehouse) Tianjin $/mt,STCN0013 Index,,,,,,,,
        HRC 5.5mm (In-Warehouse) Shanghai $/mt,STCN0016 Index,,,,,,,,
        HRC 5.5mm (In-Warehouse) Guangzhou $/mt,STCN0018 Index,,,,,,,,
        HRC 5.5mm FOB $/mt,STCN0020 Index,,,,,,,,
    HR Strip Average Price $/mt,,,,,,,,,
        HR Strip 2.5mm (In-Warehouse) Shanghai $/mt,STCN0045 Index,,,,,,,,
        HR Strip 2.5mm (In-Warehouse) Guangzhou $/mt,STCN0047 Index,,,,,,,,
        HR Strip 2.5mm (In-Warehouse) Tianjin $/mt,STCN0043 Index,,,,,,,,
        HR Strip 2.75mm (In-Warehouse) Guangzhou $/mt,STCN0053 Index,,,,,,,,
        HR Strip 5.5mm (In-Warehouse) Tianjin $/mt,STCN0049 Index,,,,,,,,
        HR Strip 5.5mm (In-Warehouse) Shanghai $/mt,STCN0051 Index,,,,,,,,
    China - Import Prices,,,,,,,,,
    HR Sheet 3mm (Shanghai) $/mt,CSPWHRSI Index,,,,,,,,
    China - Export Prices,,,,,,,,,
    HRC 3mm Export - Shanghai $/mt,CSPWHRSE Index,,,,,,,,
    CFR Singapore Port,,,,,,,,,
    Asean import Hot Rolled Coil SAE grade $/mt,CSPWHRSI Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    N. Europe HRC Spot (ex-works) $/mt,STNWHCXW KLSH Index,,,,,,,,
    S. Europe HRC Spot CIF $/mt,STS3HCCF KLSH Index,,,,,,,,
    N.W. Europe HRC Spot (ex-works) $/mt,STNWFPHR EXW KLSH Index,,,,,,,,
    Black Sea HRC Spot FOB ($/mt),STBSHCFB KLSH Index,,,,,,,,
    Italy HRC Spot (CIF) $/mt,STITFPHR CIF KLSH Index,,,,,,,,
    Italy HRC Spot (ex-works) $/mt,STITHCXW KLSH Index,,,,,,,,
    Turkey,,,,,,,,,
    Turkey HRC Spot CFR ($/mt),STTRHCCR KLSH Index,,,,,,,,
    Turkey HRC Spot Ex-Works ($/mt),STTRHCXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Vietnam HRC Spot CFR $/mt,STVNHCCR KLSH Index,,,,,,,,
    Vietnam HRC (In-Warehouse) Hanoi,STVN0001 Index,,,,,,,,
    Malalysia HRC (In-Warehouse) Kuala Lumpur,STMY0002 Index,,,,,,,,
    Thailand HRC (In-Warehouse) Bangkok,SLTH0001 Index,,,,,,,,
    India HRC (In-Warehouse) Mumbai,S3IN0002 Index,,,,,,,,
,,,,,,,,,
Cold Rolled,MBFOCRCS Index,,,,,,,,
    United States,,,,,,,,,
    CRC Spot (ex-works) $/mt,STANCCXW KLSH Index,,,,,,,,
    China,,,,,,,,,
    CR Sheet Spot Avg. $/mt,CDSPCRAV Index,,,,,,,,
    CRC 0.5mm Average Price $/mt,,,,,,,,,
        CRC 0.5mm (In-Warehouse) Tianjin $/mt,STCN0054 Index,,,,,,,,
        CRC 0.5mm (In-Warehouse) Guangzhou $/mt,STCN0058 Index,,,,,,,,
        CRC 0.5mm (In-Warehouse) Shanghai $/mt,STCN0054 Index,,,,,,,,
        CRC 0.5mm FOB $/mt,STCN0060 Index,,,,,,,,
    CRC 1.0mm Average Price $/mt,,,,,,,,,
        CRC 1.0mm (In-Warehouse) Tianjin $/mt,STCN0062 Index,,,,,,,,
        CRC 1.0mm (In-Warehouse) Shanghai $/mt,STCN0064 Index,,,,,,,,
        CRC 1.0mm (In-Warehouse) Guangzhou $/mt,STCN0066 Index,,,,,,,,
        CRC 1.0mm FOB $/mt,STCN0068 Index,,,,,,,,
    China - Export Price,,,,,,,,,
    CR Sheet 1mm (Shanghai) $/mt,CSPWCRSE Index,,,,,,,,
    China - Import Prices,,,,,,,,,
    CRC 1mm (Shanghai) $/mt,CSPWCRSI Index,,,,,,,,
    Asia (Ex-China),,,,,,,,,
    Japan CRC Spot FOB $/mt,STJPCCFB Index,,,,,,,,
    India CRC (In-Warehouse) Mumbai $/mt,S3IN0006 Index,,,,,,,,
    Malaysia CRC (In-Warehouse) KL $/mt,STMY0006 Index,,,,,,,,
    Vietnam CRC (In-Warehouse) Hanoi $/mt,STVN0003 Index,,,,,,,,
    Turkey,,,,,,,,,
    CRC Steel Spot CFR $/mt,STTRCCCR KLSH Index,,,,,,,,
    CRC Steel Spot (ex-works) $/mt,STTRCCXW KLSH Index,,,,,,,,
    Europe,,,,,,,,,
        N. Europe Domestic CRC (Ex works) $/mt,STNWCCXW KLSH Index,,,,,,,,
        N.W. Europe CRC Steel Spot (ex-works),STNWFPCR EXW KLSH Index,,,,,,,,
        Black Sea CRC Spot FOB ($/mt),STBSCCFB KLSH Index,,,,,,,,
        Italy,,,,,,,,,
            CRC Stainless Steel Spot/Delivered At Price,STITFPSC DAP KLSH Index,,,,,,,,
            CRC Steel Spot (ex-works) $/mt,STITCCXW KLSH Index,,,,,,,,
,,,,,,,,,
Galvanized,,,,,,,,,
North America,,,,,,,,,
    HDG Coil (FOB Midwest) - $/mt,PMSA1020 PLRT Index,,,,,,,,
,,,,,,,,,
    China,,,,,,,,,
    HGI Coil 0.5mm Average Price $/mt,,,,,,,,,
        HGI Coil 0.5mm (In-Warehouse) Tianjin $/mt,STCN0073 Index,,,,,,,,
        HGI Coil 0.5mm (In-Warehouse) Shanghai $/mt,STCN0075 Index,,,,,,,,
        HGI Coil 0.5mm (In-Warehouse) Guangzhou $/mt,STCN0077 Index,,,,,,,,
        HGI Coil 0.5mm FOB $/mt,STCN0078 Index,,,,,,,,
    HGI Coil 1.0mm Average Price $/mt,,,,,,,,,
        HGI Coil 1.0mm (In-Warehouse) Tianjin $/mt,STCN0079 Index,,,,,,,,
        HGI Coil 1.0mm (In-Warehouse) Shanghai $/mt,STCN0080 Index,,,,,,,,
        HGI Coil 1.0mm (In-Warehouse) Guangzhou $/mt,STCN0081 Index,,,,,,,,
        HGI Coil 1.0mm FOB $/mt,STCN0082 Index,,,,,,,,
    Galvanized Sheet Import - $/mt,CSPWGSSI Index,,,,,,,,
    HDG Spot FOT - $/mt,STCNHDFT KLSH Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Hot Dipped Galvanized Steel Spot/Ex Works $/mt,STITHDXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (Ex-China),,,,,,,,,
    India HGI (In-Warehouse) Mumbai,S3IN0007 Index,,,,,,,,
,,,,,,,,,
Plate,,,,,,,,,
    United States,,,,,,,,,
    North America Steel Plate Spot (ex-works) $/mt,STANPLXW KLSH Index,,,,,,,,
,,,,,,,,,
    China - Domestic,,,,,,,,,
    Plate 20mm Spot Avg. $/mt,CDSPSPAV Index,,,,,,,,
    Plate 10mm Average Price $/mt,,,,,,,,,
        Medium Plate 10mm (In-Warehouse) Tianjin $/mt,STCN0029 Index,,,,,,,,
        Medium Plate 10mm (In-Warehouse) Shanghai $/mt,STCN0031 Index,,,,,,,,
        Medium Plate 10mm (In-Warehouse) Guangzhou $/mt,STCN0033 Index,,,,,,,,
        Medium Plate 10mm FOB $/mt,STCN0035 Index,,,,,,,,
    China - Import Prices,,,,,,,,,
    Heavy Plate 20mm ($/mt),CSPWHPSI Index,,,,,,,,
    East Asia Steel Plate Spot (CIF),STEAFPPL CFR KLSH Index,,,,,,,,
    East Asia Steel Slab Spot (CIF),STEAFPSL CFR KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Japan Steel Plate Spot FOB $/mt,STJPPLFB KLSH Index,,,,,,,,
    Thailand Medium Plate (In-Warehouse) Bangkok $/mt,SLTH0002 Index,,,,,,,,
    India Medium Plate (In-Warehouse) Mumbai $/mt,S3IN0005 Index,,,,,,,,
    Malaysia Medium Plate (In-Warehouse) Kuala Lumpur$/mt,STMY0005 Index,,,,,,,,
    Vietnam Medium Plate (In-Warehouse) Hanoi $/mt,STVN0002 Index,,,,,,,,
,,,,,,,,,
    Middle East,,,,,,,,,
    Steel Plate Spot/Cost & Freight $/mt,STMEFPPL CFR KLSH Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    N. Europe Steel Plate Spot (ex-works) $/mt,STNWPLXW KLSH Index,,,,,,,,
    Italy Steel Plate Spot (ex-works) $/mt,STITPLXW KLSH Index,,,,,,,,
,,,,,,,,,
Stainless,,,,,,,,,
    China ($/mt),,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Hangzhou Mkt Price,HRSPHAZH Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Zibo Mkt Price,HRSPMIBO Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Shanghai Mkt Price,HRSPSHHA Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Shengyan Mkt Price,HRSPSHYA Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Taiyuan Mkt Price,HRSPTAYU Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Tianjin Mkt Price,HRSPTIJI Index,,,,,,,,
    HR Stainless Plate 6.0 x 1500mm 304 No.1 Wuxi Mkt Price,HRSPWUXI Index,,,,,,,,
,,,,,,,,,
    China,,,,,,,,,
    Stainless Bar 60mm 304 (In-Warehouse) Dalian $/mt,STCN0002 Index,,,,,,,,
    Stainless Bar 60mm 321 (In-Warehouse) Dalian $/mt,STCN0005 Index,,,,,,,,
,,,,,,,,,
    HR Stainless Sheet 6.0mm 201 No.1 (In-Warehouse),STCN0008 Index,,,,,,,,
    HR Stainless Sheet 6.0mm 304 No.1 (In-Warehouse),STCN0011 Index,,,,,,,,
,,,,,,,,,
    CRC Stainless 1.0mm 201/2B No.1 (In-Warehouse),STCN0014 Index,,,,,,,,
    CRC Stainless 1.0mm 304/2B No.1 (In-Warehouse),STCN0017 Index,,,,,,,,
    CRC Stainless 1.0mm 430/2B No.1 (In-Warehouse),STCN0019 Index,,,,,,,,
,,,,,,,,,
    Stainless Pipe 1.0mm (In-Warehouse) Wenzhou,STCN0021 Index,,,,,,,,
,,,,,,,,,
    Stainless Scrap 304 (In-Warehouse) Dalian,STCN0022 Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Stainless Steel Spot $/mt,STITHRDB KLSH Index,,,,,,,,
    Italy Stainless Steel CRC Spot $/mt,STITCRDB KLSH Index,,,,,,,,
,,,,,,,,,
Wire Rod,,,,,,,,,
    China,,,,,,,,,
    High Speed Wire Rod 6.5mm (Avg.) $/mt,CDSPWRAV Index,,,,,,,,
,,,,,,,,,
SE ASIA,,,,,,,,,
    South East Asia Wire Rod Spot CFR $/mt,STSXWRCR KLSH Index,,,,,,,,
,,,,,,,,,
    Wire Rod 8mm Average Price $/mt,,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Tianjin $/mt,STCN0003 Index,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Shanghai $/mt,STCN0006 Index,,,,,,,,
        Wire Rod 8mm (In-Warehouse) Guangzhou $/mt,STCN0009 Index,,,,,,,,
,,,,,,,,,
    Wire Rod 6.5mm FOB $/mt,STCN0012 Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    Italy Wire Rod Spot (ex-works) $/mt,STITWRXW KLSH Index,,,,,,,,
    N.W. Europe Wire Rod Spot (ex-works) $/mt,STNWLPRB EXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Malaysia Wire Rod (In-Warehouse) Kuala Lumpur $/mt,STMY0001 Index,,,,,,,,
    India Wire Rod (In-Warehouse) Mumbai $/mt,S3IN0001 Index,,,,,,,,
,,,,,,,,,
Rebar,,,,,,,,,
    China - Domestic,,,,,,,,,
    Rebar 25mm Spot Avg. $/mt,CDSPDRAV Index,,,,,,,,
    Rebar 12mm FOB $/mt,STCN0025 Index,,,,,,,,
    Rebar 20mm Average Price $/mt,,,,,,,,,
        Rebar 20mm (In-Warehouse) Tianjin $/mt,STCN0027 Index,,,,,,,,
        Rebar 20mm (In-Warehouse) Shanghai $/mt,STCN0030 Index,,,,,,,,
        Rebar 20mm (In-Warehouse) Guangzhou $/mt,STCN0032 Index,,,,,,,,
        Rebar 20mm FOB $/mt,STCN0034 Index,,,,,,,,
,,,,,,,,,
    China - Export,,,,,,,,,
    Rebar 25mm (Shanghai) - $/mt,CSPWRBSE Index,,,,,,,,
,,,,,,,,,
    Singapore,,,,,,,,,
    Steel Rebar Spot CFR ($/mt),STSGRBCR KLSH Index,,,,,,,,
,,,,,,,,,
    Turkey,,,,,,,,,
    Rebar Spot/Free on Board ($/mt),STTRRBFB KLSH Index,,,,,,,,
,,,,,,,,,
    Persian Gulf,,,,,,,,,
    Rebar CFR $/mt,STMERBCR KLSH Index,,,,,,,,
,,,,,,,,,
    Europe,,,,,,,,,
    N. Europe Steel Rebar Spot (ex-works) $/mt,STNWRBXW KLSH Index,,,,,,,,
    S. Europe Steel Rebar Spot FOB $/mt,STS3RBFB KLSH Index,,,,,,,,
    Italy Rebar Spot (ex-works) $/mt,STITRBXW KLSH Index,,,,,,,,
    Italy Merchant Bar Spot (ex-works) $/mt,STITMBXW KLSH Index,,,,,,,,
,,,,,,,,,
    Asia (ex-China),,,,,,,,,
    Malaysia Rebar 12mm (In-Warehouse) Kuala Lumpur $/mt,STMY0003 Index,,,,,,,,
    Malaysia Rebar 16mm (In-Warehouse) Kuala Lumpur $/mt,STMY0004 Index,,,,,,,,
    India TMT Bar 12mm (In-Warehouse) Mumbai $/mt,S3IN0003 Index,,,,,,,,
    India TMT Bar 16mm (In-Warehouse) Mumbai $/mt,S3IN0004 Index,,,,,,,,
,,,,,,,,,
Pipes & Tube,,,,,,,,,
    N. America Welded Tubes & Pipes (ex-works) $/mt,STANWTXW KLSH Index,,,,,,,,
,,,,,,,,,
    N. America OCTG P110 Steel Pipe (5.5 inch) FOB $/mt,STANOCFB KLSH Index,,,,,,,,
,,,,,,,,,
China,,,,,,,,,
